bp,ad,Delta14C_t,sigma,year_int,age_int,error_int
0,1950,-24.5,1,0,199,8
5,1945,-22.5,1,5,188,8
10,1940,-20,1,10,172,8
15,1935,-17.2,1,15,154,8
20,1930,-16.4,0.9,20,152,7
25,1925,-13.3,0.7,25,132,6
30,1920,-12.4,0.9,30,129,7
35,1915,-8.7,0.9,35,104,7
40,1910,-7.5,0.9,40,99,7
45,1905,-4.9,0.9,45,83,7
50,1900,-2.8,0.9,50,71,7
55,1895,-3.1,0.9,55,78,7
60,1890,-4.9,0.9,60,98,7
65,1885,-4.8,0.9,65,102,7
70,1880,-4.5,0.9,70,104,7
75,1875,-5.7,0.9,75,119,7
80,1870,-4.5,0.7,80,114,6
85,1865,-5,0.7,85,123,6
90,1860,-3.9,0.7,90,119,6
95,1855,-3.7,1,95,122,8
100,1850,-2.1,1.1,100,114,9
105,1845,-1.5,1,105,114,8
110,1840,-1.9,1,110,122,8
115,1835,-0.2,1,115,113,8
120,1830,2.7,0.9,120,95,7
125,1825,2.3,0.9,125,103,7
130,1820,3,0.7,130,102,6
135,1815,2.5,1,135,111,8
140,1810,0.5,1,140,132,8
145,1805,-1.6,1,145,154,8
150,1800,-3,0.9,150,170,7
155,1795,-7.6,1,155,212,8
160,1790,-7.9,1,160,219,8
165,1785,-6.8,1,165,215,8
170,1780,-2.5,0.9,170,185,7
175,1775,0.3,0.9,175,168,7
180,1770,-0.1,1,180,176,8
185,1765,1,1,185,172,8
190,1760,3.7,0.9,190,155,7
195,1755,3.6,0.9,195,161,7
200,1750,3.9,0.9,200,163,7
205,1745,4.5,0.9,205,163,7
210,1740,4.6,0.9,210,167,7
215,1735,7.1,1,215,152,8
220,1730,9.6,1,220,137,8
225,1725,13.2,0.8,225,113,6
230,1720,14.9,0.8,230,105,6
235,1715,17,0.9,235,93,7
240,1710,17.1,0.8,240,97,6
245,1705,16.7,0.8,245,105,6
250,1700,17.6,0.8,250,103,6
255,1695,16.3,0.6,255,118,5
260,1690,15,0.8,260,133,6
265,1685,14.6,0.9,265,141,7
270,1680,11.9,1,270,167,8
275,1675,11.4,0.9,275,176,7
280,1670,11.4,1,280,181,8
285,1665,7.7,0.9,285,215,7
290,1660,6.1,0.9,290,233,7
295,1655,6,0.9,295,239,7
300,1650,4.9,0.9,300,252,7
305,1645,2.9,0.9,305,273,7
310,1640,0.3,0.9,310,299,7
315,1635,0,0.9,315,306,7
320,1630,-2.1,1,320,328,8
325,1625,-2,0.9,325,332,7
330,1620,-1.7,0.9,330,334,7
335,1615,-3.5,0.9,335,354,7
340,1610,-3.7,1,340,360,8
345,1605,-4.2,0.9,345,369,7
350,1600,-0.9,0.9,350,347,7
355,1595,0.2,1,355,343,8
360,1590,2.2,1,360,332,8
365,1585,2.8,1,365,332,8
370,1580,3.1,1,370,335,8
375,1575,4,1,375,332,8
380,1570,5.5,1,380,325,8
385,1565,6.3,1,385,324,8
390,1560,6.4,1,390,328,8
395,1555,8.5,1,395,316,8
400,1550,9.8,0.9,400,310,7
405,1545,10.3,1,405,311,8
410,1540,11.4,0.9,410,307,7
415,1535,12.4,0.9,415,304,7
420,1530,12.8,1,420,306,8
425,1525,11.6,0.9,425,320,7
430,1520,10.1,1,430,337,8
435,1515,9.7,1,435,345,8
440,1510,9.3,1,440,353,8
445,1505,10.3,1.3,445,350,10
450,1500,11.1,1.4,450,349,11
455,1495,11.3,1.4,455,352,11
460,1490,11,1.5,460,359,12
465,1485,10.5,1.4,465,368,11
470,1480,10.6,1.5,470,372,12
475,1475,10.8,1.5,475,375,12
480,1470,10.7,1.5,480,381,12
485,1465,10.3,1.4,485,389,11
490,1460,10.4,1.4,490,393,11
495,1455,10.3,1.4,495,399,11
500,1450,8.7,1.5,500,416,12
505,1445,6.6,1.5,505,438,12
510,1440,4.6,1.5,510,459,12
515,1435,3,1.4,515,476,11
520,1430,1.9,1.5,520,490,12
525,1425,1,1.4,525,502,11
530,1420,0.3,1.5,530,513,12
535,1415,-0.8,1.4,535,526,11
540,1410,-2.3,1.5,540,543,12
545,1405,-3.8,1.4,545,560,11
550,1400,-4.7,1.5,550,572,12
555,1395,-5.5,1.5,555,584,12
560,1390,-7.5,1.5,560,605,12
565,1385,-9.8,1.4,565,628,11
570,1380,-11.3,1.5,570,645,12
575,1375,-11.5,1.4,575,652,11
580,1370,-10.2,1.5,580,646,12
585,1365,-8,1.4,585,633,11
590,1360,-5.9,1.5,590,621,12
595,1355,-4.1,1.4,595,611,11
600,1350,-2.2,1.5,600,601,12
605,1345,-0.4,1.4,605,591,11
610,1340,1.5,1.5,610,581,12
615,1335,2.8,1.4,615,575,11
620,1330,2.9,1.4,620,579,11
625,1325,2.3,1.4,625,589,11
630,1320,1.5,1.5,630,600,12
635,1315,0.6,1.4,635,612,11
640,1310,0.1,1.4,640,621,11
645,1305,-0.4,1.2,645,630,10
650,1300,-1.3,1.5,650,642,12
655,1295,-2.7,1.5,655,658,12
660,1290,-4.1,1.5,660,674,12
665,1285,-5.6,1.5,665,691,12
670,1280,-7.7,1.5,670,713,12
675,1275,-9.8,1.5,675,735,12
680,1270,-11.2,1.5,680,751,12
685,1265,-12.2,1.4,685,764,11
690,1260,-13.7,1.4,690,781,11
695,1255,-14.8,1.3,695,795,11
700,1250,-14.9,1.5,700,801,12
705,1245,-14.6,1.3,705,803,11
710,1240,-14.6,1.2,710,808,10
715,1235,-13.9,1.2,715,807,10
720,1230,-12.7,1.4,720,802,11
725,1225,-12.3,1.2,725,804,10
730,1220,-13.8,1.2,730,821,10
735,1215,-15.5,1.2,735,840,10
740,1210,-16,1.3,740,849,11
745,1205,-16.4,1.3,745,857,11
750,1200,-16.1,1.5,750,859,12
755,1195,-15,1.2,755,855,10
760,1190,-14.8,1.2,760,858,10
765,1185,-14.9,1.2,765,864,10
770,1180,-14.7,1.5,770,867,12
775,1175,-14,1.2,775,866,10
780,1170,-13.2,1.2,780,865,10
785,1165,-13.7,1.1,785,874,9
790,1160,-15.2,1.3,790,891,11
795,1155,-16.7,1.2,795,908,10
800,1150,-18.6,1.3,800,928,11
805,1145,-19.8,1.2,805,943,10
810,1140,-18.5,1.3,810,937,11
815,1135,-16.3,1.2,815,924,10
820,1130,-15.5,1.3,820,922,11
825,1125,-15.4,1.3,825,926,11
830,1120,-16.2,1.5,830,938,12
835,1115,-17.1,1.2,835,950,10
840,1110,-16.5,1.2,840,950,10
845,1105,-15.2,1.2,845,944,10
850,1100,-14.2,1.3,850,941,11
855,1095,-13.4,1.4,855,939,11
860,1090,-12.3,1.4,860,935,11
865,1085,-10.9,1.2,865,929,10
870,1080,-9.2,1.4,870,920,11
875,1075,-7.7,1.2,875,912,10
880,1070,-7.1,1.4,880,912,11
885,1065,-6.5,1.2,885,912,10
890,1060,-5.7,1.4,890,911,11
895,1055,-5.5,1.2,895,914,10
900,1050,-6.3,1.4,900,925,11
905,1045,-7.4,1.4,905,939,11
910,1040,-8,1.4,910,949,11
915,1035,-8.5,1.4,915,958,11
920,1030,-9.5,1.5,920,971,12
925,1025,-10.9,1.4,925,987,11
930,1020,-13.5,1.5,930,1013,12
935,1015,-16,1.3,935,1038,11
940,1010,-16.2,1.5,940,1045,12
945,1005,-15.4,1.3,945,1043,11
